SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS
1999,Angela Aycock,100441,130.0,90.5,39.5,99.8,100.4,-0.6,40.1,53.1,54.2,2094.6,2107.9,107.2
1999,Charmin Smith,100179,101.4,79.2,22.2,97.0,102.1,-5.1,27.2,94.7,99.8,1989.6,1972.1,194.5
1999,Kedra Holland-Corn,100421,108.3,95.7,12.6,91.9,103.1,-11.2,23.9,1854.3,1905.8,461.5,484.8,3760.1
1999,Cynthia Cooper,100073,109.8,94.3,15.4,95.8,101.6,-5.7,21.2,2208.3,2190.2,368.4,359.4,4398.6
1999,Mwadi Mabika,100012,106.1,97.2,8.9,98.7,110.8,-12.2,21.1,1884.4,1848.8,712.6,708.2,3733.2
1999,Margo Dydek,100239,104.4,100.6,3.8,97.8,114.6,-16.8,20.6,1302.6,1291.3,1020.6,1010.4,2593.9
1999,Yolanda Griffith,100419,107.4,94.0,13.4,98.8,105.8,-7.0,20.5,1678.3,1740.6,637.5,650.1,3418.8
1999,Adrienne Goodson,100363,103.8,105.8,-2.0,91.0,111.1,-20.1,18.2,1901.2,1887.8,422.0,413.9,3789.0
1999,Tina Thompson,100076,109.3,93.8,15.4,100.5,102.9,-2.4,17.8,2141.8,2122.8,435.0,426.8,4264.6
1999,Lisa Leslie,100003,105.5,98.1,7.4,100.1,108.8,-8.7,16.1,1907.8,1864.0,689.2,693.0,3771.8
1999,Taj McWilliams-Franklin,100412,102.9,99.9,3.0,96.2,109.2,-13.0,16.0,1750.1,1761.2,416.8,409.3,3511.4
1999,Chamique Holdsclaw,100356,98.2,102.2,-4.1,89.5,108.1,-18.7,14.6,1783.8,1804.7,380.0,366.2,3588.5
1999,Andrea Kuklova,100224,124.5,110.2,14.3,100.3,100.0,0.3,14.0,20.1,25.4,2127.6,2136.7,45.5
1999,Maria Stepanova,100227,100.3,91.9,8.4,100.7,106.3,-5.6,14.0,918.2,925.2,1229.4,1236.9,1843.4
1999,Janice Braxton,100087,92.9,94.6,-1.7,91.1,106.2,-15.0,13.3,739.2,770.5,1364.9,1340.5,1509.7
1999,Shannon Johnson,100410,102.2,100.8,1.4,96.8,108.6,-11.8,13.2,1918.0,1924.6,249.0,246.0,3842.6
1999,Sheri Sam,100416,103.6,101.8,1.8,90.3,100.9,-10.6,12.4,1840.3,1839.5,326.7,331.1,3679.8
1999,Jennifer Azzi,100382,100.7,98.9,1.8,92.8,103.5,-10.7,12.4,1487.7,1499.0,835.0,822.3,2986.7
1999,Rita Williams,100204,97.1,94.4,2.7,96.5,106.0,-9.5,12.2,515.1,519.2,1648.6,1651.7,1034.3
1999,Jennifer Rizzotti,100338,115.9,93.7,22.2,106.1,95.7,10.4,11.8,443.4,441.7,2133.4,2108.0,885.0
1999,Janeth Arcain,100075,110.9,94.1,16.9,103.2,97.1,6.1,10.7,1517.9,1492.2,1058.8,1057.4,3010.2
1999,Vanessa Nygaard,100215,100.8,100.8,0.1,91.6,102.0,-10.4,10.4,37.7,36.7,2066.4,2074.3,74.4
1999,Crystal Robinson,100345,103.1,98.6,4.6,93.6,99.3,-5.7,10.3,1779.0,1750.8,695.3,692.6,3529.8
1999,Lisa Harrison,100378,100.0,95.8,4.2,101.4,107.3,-5.9,10.1,1328.2,1348.6,819.4,813.5,2676.8
1999,Dawn Staley,100372,101.4,100.5,0.9,95.1,104.1,-9.0,10.0,1993.6,2006.3,352.4,366.0,3999.9
1999,Sue Wicks,100104,100.5,95.9,4.6,100.4,105.9,-5.5,10.0,1764.2,1734.9,710.1,708.4,3499.1
1999,Chasity Melvin,100433,94.8,100.5,-5.6,88.2,103.7,-15.5,9.8,1138.1,1132.9,966.0,978.1,2271.0
1999,Debbie Black,100359,101.3,104.4,-3.1,102.0,114.9,-12.9,9.8,1807.6,1791.6,515.6,510.1,3599.2
1999,Charlotte Smith,100371,103.7,100.2,3.4,96.0,102.2,-6.1,9.6,1357.8,1382.6,988.2,989.7,2740.4
1999,Gordana Grubin,100394,107.0,99.7,7.3,100.3,102.7,-2.4,9.6,1474.2,1457.3,1122.7,1099.7,2931.6
1999,Jennifer Howard,100431,103.0,104.5,-1.5,91.6,101.9,-10.3,8.8,28.2,28.7,2076.0,2082.3,56.9
1999,Dominique Canty,100384,101.3,99.5,1.8,94.6,101.5,-6.9,8.7,1137.3,1128.2,1185.4,1193.1,2265.6
1999,DeLisha Milton-Jones,100396,104.0,98.0,6.1,104.1,106.7,-2.6,8.6,1704.0,1679.0,893.0,878.0,3383.0
1999,Toni Foster,100033,128.9,120.3,8.6,99.4,99.3,0.1,8.5,80.7,88.1,2067.0,2074.0,168.8
1999,Andrea Lloyd-Curry,100402,98.5,99.8,-1.3,94.3,103.5,-9.2,7.9,1429.9,1429.2,654.4,642.6,2859.1
1999,Val Whiting,100389,98.1,97.5,0.6,97.5,104.7,-7.2,7.8,1324.0,1347.3,998.7,974.1,2671.3
1999,La'Keshia Frett,100393,106.3,99.6,6.6,101.6,102.5,-0.9,7.5,1377.4,1349.8,1219.5,1207.2,2727.3
1999,Heather Owen,100354,93.6,94.3,-0.6,97.3,105.2,-7.9,7.2,373.8,384.0,1789.9,1786.9,757.9
1999,Amanda Wilson,100380,137.7,130.4,7.2,99.3,99.2,0.1,7.1,68.3,65.2,2079.4,2096.9,133.4
1999,Vickie Johnson,100103,101.1,98.2,2.9,97.4,101.5,-4.1,7.0,2030.8,2008.9,443.5,434.4,4039.7
1999,Sonja Tate,100406,99.1,100.3,-1.2,93.9,102.0,-8.1,6.9,1314.5,1303.6,769.8,768.3,2618.1
1999,Bridget Pettis,100031,101.2,97.0,4.2,100.0,102.4,-2.4,6.6,914.8,912.3,1232.8,1249.8,1827.1
1999,Rachael Sporn,100255,103.4,101.3,2.1,95.9,100.3,-4.4,6.5,611.2,611.0,1711.5,1710.4,1222.2
1999,Angie Potthoff,100403,94.7,95.6,-0.9,100.2,107.6,-7.3,6.5,1145.6,1144.3,938.7,927.6,2289.8
1999,Kisha Ford,100107,103.2,97.1,6.1,101.6,101.8,-0.3,6.3,70.8,69.0,2096.2,2101.6,139.8
1999,Jamila Wideman,100007,90.4,96.2,-5.8,92.3,104.2,-11.9,6.1,584.0,590.6,1520.2,1520.4,1174.6
1999,Vicky Bullett,100058,101.1,100.4,0.7,98.1,103.4,-5.3,6.0,1828.2,1858.6,517.8,513.7,3686.8
1999,Kristi Harrower,100222,103.6,100.6,3.0,97.3,99.6,-2.3,5.4,1098.3,1124.4,1049.3,1037.7,2222.7
1999,Venus Lacy,100425,106.4,99.7,6.7,100.0,98.7,1.3,5.4,187.1,184.6,2287.2,2258.8,371.6
1999,Andrea Stinson,100059,102.7,102.5,0.2,89.6,94.1,-4.5,4.8,1944.1,1965.3,401.9,407.0,3909.4
1999,Tari Phillips,100413,98.4,96.3,2.1,102.8,103.6,-0.9,3.0,565.0,577.3,1601.9,1593.2,1142.4
1999,Elaine Powell,100414,104.6,102.4,2.3,100.9,101.5,-0.6,2.9,412.0,431.8,1755.0,1738.8,843.8
1999,Natalie Williams,100366,104.5,109.0,-4.5,93.8,100.9,-7.1,2.5,1673.1,1654.7,650.1,647.0,3327.8
1999,Teresa Weatherspoon,100101,101.0,98.9,2.1,98.0,98.3,-0.4,2.5,2045.6,2026.4,428.7,417.0,4071.9
1999,Sheryl Swoopes,100072,107.3,94.6,12.8,110.3,100.0,10.3,2.4,2211.5,2187.7,365.2,362.0,4399.2
1999,Latasha Byears,100027,107.5,98.6,8.9,102.0,95.5,6.6,2.3,1279.7,1313.8,1036.1,1076.9,2593.5
1999,Nykesha Sales,100415,102.2,101.9,0.3,99.1,100.7,-1.7,2.0,1767.2,1768.5,399.7,402.0,3535.8
1999,Brandy Reed,100225,97.6,100.6,-3.1,96.7,101.5,-4.8,1.7,1247.2,1230.2,837.0,841.7,2477.4
1999,Claudia Neves,100386,97.3,99.0,-1.6,98.0,101.0,-3.0,1.4,568.1,558.8,1754.6,1762.6,1126.8
1999,Michelle Edwards,100088,89.9,99.6,-9.6,94.4,105.4,-11.0,1.3,1238.9,1250.5,865.2,860.5,2489.4
1999,Carla Boyd,100269,97.4,99.4,-2.1,98.4,101.8,-3.4,1.3,1244.6,1225.9,1078.1,1095.5,2470.4
1999,Suzie McConnell Serio,100187,93.4,103.2,-9.8,90.6,101.0,-10.4,0.6,895.1,904.9,1209.0,1206.1,1800.0
1999,Clarissa Davis-Wrightsil,100377,104.3,103.4,0.9,99.4,99.2,0.2,0.6,480.4,478.6,1667.2,1683.5,959.0
1999,Valerie Still,100437,91.1,97.1,-6.1,98.1,104.8,-6.7,0.6,454.6,457.0,1709.1,1713.9,911.7
1999,Ruthie Bolton,100016,105.6,97.7,7.9,103.4,95.8,7.6,0.4,1746.1,1792.7,569.7,597.9,3538.8
1999,Elena Tornikidou,100388,93.6,96.2,-2.6,98.2,100.9,-2.7,0.1,154.8,159.0,2167.8,2162.4,313.8
1999,Sonia Chase,100178,106.9,107.3,-0.4,100.2,100.8,-0.6,0.1,95.4,96.9,2250.6,2275.4,192.3
1999,Murriel Page,100199,98.2,104.9,-6.7,92.5,99.0,-6.5,-0.2,1558.6,1549.6,605.2,621.3,3108.2
1999,Nyree Roberts,100208,101.1,108.3,-7.3,96.2,103.1,-6.9,-0.3,148.4,144.9,2057.4,2069.7,293.3
1999,Shalonda Enis,100350,96.4,103.1,-6.7,97.1,103.5,-6.4,-0.3,1434.2,1436.4,729.5,734.5,2870.6
1999,Ticha Penicheiro,100234,104.7,97.0,7.8,107.0,98.7,8.3,-0.5,1977.6,2047.3,338.2,343.3,4025.0
1999,Sharon Manning,100063,95.4,96.5,-1.1,103.8,104.0,-0.2,-0.9,929.0,938.1,1417.0,1434.2,1867.1
1999,Mery Andrade,100428,94.6,105.4,-10.9,90.7,100.5,-9.9,-1.0,597.3,604.1,1506.8,1506.9,1201.4
1999,Merlakia Jones,100092,92.6,103.1,-10.6,90.2,99.6,-9.4,-1.2,1387.0,1391.3,717.1,719.7,2778.3
1999,Rhonda Mapp,100060,99.7,100.9,-1.1,101.7,101.3,0.4,-1.5,1473.9,1478.0,872.2,894.3,2951.9
1999,Kym Hampton,100102,97.2,96.2,1.0,106.8,104.1,2.7,-1.6,1628.8,1633.8,845.4,809.6,3262.6
1999,Marlies Askamp,100037,102.5,102.8,-0.3,97.6,96.1,1.5,-1.8,1291.3,1304.9,856.4,857.2,2596.2
1999,Monica Maxwell,100357,90.0,98.3,-8.3,97.4,103.8,-6.4,-1.9,225.4,225.8,1938.3,1945.1,451.3
1999,Carla McGhee,100411,92.9,94.7,-1.8,103.5,103.1,0.4,-2.2,381.2,373.8,1785.8,1796.8,755.0
1999,Katie Smith,100404,99.4,103.8,-4.4,91.0,93.0,-2.0,-2.4,1536.8,1525.5,547.5,546.4,3062.3
1999,Christy Smith,100181,121.5,125.1,-3.6,100.2,100.7,-0.5,-3.1,32.9,35.2,2313.1,2337.2,68.1
1999,Michele Van Gorp,100346,106.1,107.3,-1.2,100.0,98.1,1.9,-3.1,201.7,189.2,2272.6,2254.2,390.9
1999,Penny Toler,100004,102.2,101.3,0.9,105.0,100.8,4.1,-3.2,829.8,829.4,1767.2,1727.6,1659.2
1999,Tammy Jackson,100077,107.4,97.3,10.1,108.0,94.4,13.5,-3.4,825.0,816.3,1751.7,1733.3,1641.3
1999,Sophia Witherspoon,100105,98.9,99.2,-0.4,101.7,98.5,3.2,-3.6,1065.0,1054.2,1409.2,1389.2,2119.2
1999,Stephanie White,100370,96.6,99.5,-2.9,103.0,102.1,1.0,-3.8,944.8,954.7,1401.3,1417.6,1899.5
1999,Tracy Reid,100182,101.6,105.8,-4.2,100.3,100.4,-0.1,-4.0,265.7,268.5,2080.3,2103.8,534.2
1999,LaTonya Johnson,100242,98.1,105.2,-7.0,105.6,108.7,-3.0,-4.0,1285.8,1265.7,1037.4,1036.0,2551.6
1999,Kellie Jolly Harper,100432,120.2,134.4,-14.2,91.7,101.8,-10.2,-4.0,8.3,7.4,2095.8,2103.6,15.8
1999,Astou Ndiaye-Diatta,100387,98.1,103.6,-5.4,97.7,98.9,-1.2,-4.2,815.1,813.8,1507.6,1507.6,1628.8
1999,Cindy Brown,100248,96.1,101.3,-5.3,99.4,100.5,-1.1,-4.2,1155.6,1157.5,1443.6,1442.1,2313.1
1999,Annie Burgess,100401,96.8,103.8,-7.0,97.4,100.0,-2.6,-4.4,547.6,549.2,1536.7,1522.7,1096.7
1999,Ukari Figgs,100392,103.0,103.3,-0.3,104.4,100.3,4.2,-4.4,622.0,605.0,1974.9,1952.0,1227.0
1999,Lady Grooms,100044,102.6,97.6,5.0,106.4,97.0,9.4,-4.4,827.5,854.9,1488.3,1535.8,1682.4
1999,Markita Aldridge,100348,89.4,99.3,-9.9,99.6,104.8,-5.2,-4.7,619.9,611.5,1543.8,1559.4,1231.4
1999,Eva Nemcova,100091,90.5,102.1,-11.5,95.0,101.6,-6.7,-4.9,1514.5,1506.0,589.6,605.0,3020.5
1999,Chantel Tremitiere,100022,100.5,110.1,-9.6,101.7,106.2,-4.5,-5.1,340.3,328.8,1982.9,1972.9,669.1
1999,Heather Quella,100417,110.9,108.0,2.9,104.9,96.9,8.0,-5.2,74.0,76.8,2241.8,2313.8,150.8
1999,Alessandra Santos de Olive,100201,97.4,108.9,-11.5,96.5,102.1,-5.6,-5.9,344.8,357.1,1818.9,1813.8,701.9
1999,Nikki McCray,100198,98.3,106.1,-7.8,89.9,91.6,-1.7,-6.2,1743.3,1742.9,420.4,428.0,3486.2
