SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS
1999,Dawn Staley,100372,107.7,104.3,3.4,50.0,225.0,-175.0,178.4,240.5,242.7,4.0,4.0,483.2
1999,Andrea Stinson,100059,107.4,105.0,2.4,90.1,140.8,-50.8,53.2,235.6,238.2,8.9,8.5,473.8
1999,Ticha Penicheiro,100234,83.7,68.5,15.2,75.1,110.4,-35.3,50.5,34.6,40.9,38.6,39.0,75.5
1999,Angie Braziel,100368,145.5,101.0,44.5,101.1,107.1,-5.9,50.4,30.9,34.6,213.6,212.0,65.6
1999,Kedra Holland-Corn,100421,79.4,67.7,11.7,78.8,110.1,-31.3,43.0,37.8,39.9,35.5,40.0,77.6
1999,Mwadi Mabika,100012,94.4,91.0,3.4,88.7,124.9,-36.2,39.6,220.3,208.7,59.7,66.4,429.0
1999,Claudia Neves,100386,121.5,107.1,14.4,69.1,90.6,-21.4,35.9,15.6,15.9,50.6,47.5,31.5
1999,Heather Quella,100417,88.8,67.6,21.3,78.0,91.6,-13.6,34.9,7.9,8.9,65.4,71.0,16.8
1999,Lisa Leslie,100003,93.9,96.5,-2.5,85.8,120.3,-34.4,31.9,254.4,243.6,25.6,31.6,498.0
1999,Astou Ndiaye-Diatta,100387,107.0,102.8,4.2,61.6,88.2,-26.5,30.7,29.0,28.2,37.3,35.2,57.2
1999,Cindy Blodgett,100183,101.7,90.8,11.0,73.9,88.5,-14.6,25.6,13.8,14.3,59.5,65.5,28.1
1999,Cynthia Cooper,100073,108.3,92.0,16.3,99.9,108.8,-8.9,25.2,349.2,356.6,36.0,33.1,705.8
1999,Vickie Johnson,100103,109.2,109.8,-0.6,84.3,109.6,-25.3,24.7,282.1,281.4,87.8,83.0,563.5
1999,DeLisha Milton-Jones,100396,91.7,92.9,-1.2,99.6,124.8,-25.2,23.9,225.8,220.7,54.2,54.5,446.5
1999,Kym Hampton,100102,99.7,101.0,-1.3,114.3,137.2,-22.9,21.6,279.8,276.2,90.1,88.2,556.0
1999,Becky Hammon,100342,121.9,112.6,9.3,98.4,109.0,-10.6,19.9,77.1,80.8,292.8,283.6,158.0
1999,Janeth Arcain,100075,117.1,96.8,20.3,86.9,86.3,0.7,19.6,262.1,263.3,123.1,126.4,525.4
1999,Gordana Grubin,100394,98.0,99.7,-1.7,79.1,97.7,-18.6,16.9,209.2,205.6,70.8,69.6,414.8
1999,La'Keshia Frett,100393,97.6,99.5,-1.8,80.9,98.6,-17.7,15.8,205.9,200.1,74.2,75.1,406.0
1999,Charlotte Smith,100371,109.7,104.0,5.7,101.0,111.0,-10.0,15.7,161.3,168.3,83.2,78.4,329.6
1999,Sharon Manning,100063,105.7,95.4,10.3,107.4,112.2,-4.8,15.2,92.7,88.0,151.8,158.6,180.7
1999,Tammy Jackson,100077,109.1,88.2,20.9,106.0,98.0,8.0,12.9,182.4,183.6,202.8,206.0,366.1
1999,Sue Wicks,100104,101.9,105.7,-3.8,107.1,120.3,-13.2,9.4,270.9,262.2,99.0,102.3,533.0
1999,Tina Thompson,100076,109.1,93.8,15.4,98.3,91.3,7.0,8.4,326.2,333.8,59.0,55.8,660.0
1999,Dominique Canty,100384,93.7,102.5,-8.8,70.8,86.6,-15.9,7.1,31.0,32.2,35.3,31.2,63.2
1999,Val Whiting,100389,75.1,87.2,-12.1,94.1,107.8,-13.7,1.6,44.0,40.2,22.3,23.2,84.1
1999,Linda Burgess,100011,86.8,96.7,-9.9,74.5,85.0,-10.5,0.6,27.6,26.9,45.6,53.0,54.5
1999,Ruthie Bolton,100016,76.2,85.8,-9.6,93.2,100.7,-7.5,-2.1,60.4,63.0,12.9,16.9,123.4
1999,Crystal Robinson,100345,102.9,110.1,-7.2,105.9,107.9,-2.0,-5.2,320.8,312.6,49.1,51.9,633.4
1999,Sophia Witherspoon,100105,96.3,106.9,-10.6,107.3,111.3,-4.1,-6.5,134.0,130.0,235.9,234.4,264.0
1999,Latasha Byears,100027,76.3,89.0,-12.7,82.7,88.9,-6.1,-6.6,40.6,46.1,32.6,33.8,86.7
1999,Carla Boyd,100269,70.8,86.6,-15.9,93.7,102.5,-8.8,-7.1,35.3,31.2,31.0,32.2,66.5
1999,Mila Nikolich,100439,119.0,114.2,4.9,107.2,92.9,14.2,-9.3,10.1,8.8,375.1,380.9,18.8
1999,Kara Wolters,100340,119.0,114.2,4.9,107.2,92.9,14.2,-9.3,10.1,8.8,375.1,380.9,18.8
1999,Amaya Valdemoro,100211,119.0,114.2,4.9,107.2,92.9,14.2,-9.3,10.1,8.8,375.1,380.9,18.8
1999,Jennifer Rizzotti,100338,119.0,114.2,4.9,107.2,92.9,14.2,-9.3,10.1,8.8,375.1,380.9,18.8
1999,Sonja Henning,100336,97.5,88.9,8.7,120.0,99.1,20.9,-12.2,214.3,216.1,170.9,173.6,430.4
1999,Polina Tzekova,100210,101.6,93.3,8.3,114.1,93.5,20.7,-12.4,204.7,207.8,180.5,181.8,412.6
1999,Rhonda Mapp,100060,108.0,111.2,-3.2,103.4,90.9,12.5,-15.7,179.7,186.2,64.8,60.5,365.8
1999,Allison Feaster,100170,87.7,108.1,-20.3,94.7,96.7,-2.0,-18.3,59.3,61.1,220.8,214.1,120.4
1999,Clarisse Machanguana,100395,121.8,146.6,-24.9,91.9,96.9,-5.0,-19.9,12.3,13.0,267.7,262.2,25.3
1999,Tamika Whitmore,100347,105.5,123.4,-17.9,101.5,97.6,3.9,-21.8,165.9,171.8,204.0,192.6,337.7
1999,Niesa Johnson,100369,100.3,115.8,-15.5,110.1,101.5,8.6,-24.1,83.7,81.2,160.8,165.5,164.9
1999,Penny Toler,100004,76.2,100.1,-23.9,99.4,98.9,0.5,-24.5,74.8,76.9,205.2,198.2,151.8
1999,Nina Bjedov,100391,89.9,115.4,-25.5,94.0,94.8,-0.8,-24.8,55.6,58.9,224.4,216.2,114.6
1999,Ukari Figgs,100392,116.3,148.5,-32.2,92.6,97.7,-5.1,-27.1,6.9,8.1,273.2,267.1,15.0
1999,Tamecka Dixon,100008,83.3,112.3,-29.0,96.8,93.9,2.9,-31.9,75.6,79.2,204.4,195.9,154.8
1999,Vicky Bullett,100058,99.6,107.3,-7.7,129.3,103.0,26.3,-34.0,185.7,184.5,58.8,62.2,370.2
1999,Sandy Brondello,100247,69.1,90.6,-21.4,121.5,107.1,14.4,-35.9,50.6,47.5,15.6,15.9,98.1
1999,Teresa Weatherspoon,100101,100.4,112.4,-12.1,120.3,96.2,24.1,-36.1,315.8,304.2,54.0,60.3,620.0
1999,Sheryl Swoopes,100072,105.3,95.4,9.8,127.3,74.4,52.9,-43.1,346.7,352.0,38.5,37.6,698.8
1999,Tangela Smith,100236,76.7,88.6,-11.9,138.9,100.0,38.9,-50.8,70.4,77.8,2.9,2.0,148.2
1999,Lady Grooms,100044,79.1,108.1,-29.0,79.3,56.9,22.4,-51.4,45.5,50.0,27.8,29.9,95.5
1999,Kate Starbird,100422,68.4,117.4,-48.9,85.7,70.4,15.3,-64.3,27.8,31.5,45.5,48.3,59.3
1999,Tracy Reid,100182,81.2,143.4,-62.3,108.1,104.7,3.4,-65.7,12.3,9.8,232.2,236.9,22.1
1999,Wendy Palmer,100046,73.8,96.0,-22.2,150.6,80.0,70.6,-92.8,59.6,58.4,6.6,5.0,118.0
1999,Venus Lacy,100425,66.7,233.3,-166.7,103.6,108.7,-5.2,-161.5,3.0,3.0,366.9,361.4,6.0
