SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2016,Tina Charles,202250,131.6,128.7,2.8,44.4,145.3,-101.0,103.8,69.2,70.7,6.8,6.9,139.8,1,36.4,12.0,8.0,19.0,9.0,5.0,1.0,0.0,1.0,41.7,33.3,NYL,1,26.8,12.7,4.2,8.5,7.0,1.4,0.0,1.4,23.9,1.4
2016,Alex Harden,204336,171.4,94.9,76.5,111.9,118.8,-6.9,83.4,7.0,6.3,380.6,383.9,13.3,2,1.8,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,100.0,100.0,PHO,2,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0
2016,Kaleena Mosqueda-Lewis,204321,131.8,111.9,19.8,102.3,138.4,-36.1,55.9,29.6,29.5,45.0,44.1,59.1,1,14.8,6.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,33.3,25.0,SEA,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,28.1,0.0
2016,Breanna Stewart,1627668,120.9,130.4,-9.6,34.0,94.0,-60.0,50.4,68.7,68.2,5.9,5.3,136.9,1,37.7,10.0,6.0,19.0,7.0,3.0,2.0,0.0,0.0,60.0,50.0,SEA,1,27.1,10.0,2.9,7.1,4.3,2.9,0.0,0.0,18.4,2.9
2016,Nneka Ogwumike,203014,113.8,97.4,16.4,104.1,124.5,-20.4,36.8,516.8,528.0,146.0,144.6,1044.8,9,31.399999999999995,11.6,4.2,17.9,9.3,2.6,2.0,1.1,2.9,62.5,22.2,LAS,9,29.200000000000003,15.199999999999998,5.1,10.2,4.2,3.3,1.7999999999999998,4.7,28.5,5.1
2016,Maya Moore,202632,115.4,103.1,12.3,103.2,126.9,-23.7,36.0,493.1,488.0,107.6,102.4,981.0,8,32.9,15.0,5.8,22.4,7.3,4.6,1.9,0.5,2.8,51.7,38.7,MIN,8,34.3,11.1,1.3,9.8,7.1,2.9,0.8,4.2,33.0,3.7
2016,Marta Xargay,204300,118.5,110.5,8.1,105.3,129.5,-24.2,32.3,226.1,227.2,161.5,163.0,453.3,5,24.1,5.4,3.0,7.8,1.8,3.8,0.4,0.0,2.6,44.4,27.3,PHO,5,15.9,3.7,1.6,2.0,7.8,0.8,0.0,5.3,20.6,0.8
2016,Noelle Quinn,201049,122.1,112.7,9.3,111.3,133.6,-22.3,31.6,18.8,20.4,55.7,53.2,39.2,1,11.1,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,33.3,0.0,SEA,1,9.1,18.2,4.5,13.6,0.0,0.0,0.0,0.0,16.0,0.0
2016,Penny Taylor,100634,110.1,106.0,4.1,119.0,142.6,-23.7,27.7,260.7,258.4,126.9,131.8,519.1,5,26.1,7.6,4.8,11.2,4.4,3.0,1.6,0.8,1.8,36.8,31.3,PHO,5,20.4,8.0,0.0,8.0,5.5,2.9,1.5,3.3,22.1,4.4
2016,Shenise Johnson,203018,106.3,115.5,-9.2,93.9,130.0,-36.1,27.0,43.3,42.4,34.1,30.8,85.7,1,22.1,16.0,2.0,8.0,4.0,1.0,1.0,0.0,2.0,18.8,0.0,IND,1,17.8,8.9,2.2,6.7,2.2,2.2,0.0,4.4,43.6,2.2
2016,Matee Ajavon,201492,133.5,114.2,19.3,122.5,129.3,-6.9,26.2,56.9,60.4,94.7,94.3,117.3,2,15.6,4.0,3.0,7.0,2.5,0.5,0.0,0.0,1.5,50.0,0.0,ATL,2,22.2,7.9,3.2,4.8,1.6,0.0,0.0,4.8,24.0,0.0
2016,Tamera Young,201477,108.3,111.7,-3.4,99.2,128.5,-29.3,25.9,267.0,265.1,122.0,122.2,532.0,5,27.6,12.0,1.2,9.8,4.8,3.2,1.2,0.4,1.8,38.3,0.0,CHI,5,17.8,8.7,3.6,5.1,5.8,2.2,0.7,3.3,26.8,2.9000000000000004
2016,Shavonte Zellous,201919,123.0,121.5,1.5,125.4,147.7,-22.4,23.8,49.6,51.8,26.3,25.7,101.4,1,27.8,9.0,4.0,10.0,3.0,1.0,1.0,0.0,0.0,44.4,0.0,NYL,1,18.9,5.7,1.9,3.8,1.9,1.9,0.0,0.0,21.7,1.9
2016,Layshia Clarendon,203406,120.1,113.1,7.0,153.1,169.7,-16.6,23.6,121.6,126.4,30.0,28.3,248.0,2,32.0,7.5,4.0,11.0,6.0,6.0,0.0,0.5,2.0,53.3,25.0,ATL,2,17.1,9.3,2.3,7.0,9.3,0.0,0.8,3.1,18.5,0.8
2016,Meighan Simmons,203848,132.7,113.7,18.9,123.7,127.6,-3.9,22.8,49.0,46.6,102.6,108.1,95.6,2,12.4,5.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0,10.0,14.3,ATL,2,5.8,5.8,0.0,5.8,1.9,0.0,0.0,0.0,20.4,0.0
2016,Imani McGee-Stafford,1627677,106.7,107.0,-0.3,104.0,127.0,-23.0,22.7,199.6,194.4,189.4,192.9,394.0,5,20.4,7.2,2.0,8.4,8.2,0.8,0.0,2.0,1.0,50.0,0.0,CHI,5,20.3,19.8,7.7,12.1,1.9,0.0,4.8,2.4,22.7,4.8
2016,Jewell Loyd,204319,112.8,123.0,-10.2,120.3,149.3,-29.0,18.8,62.9,60.2,11.6,13.4,123.1,1,33.1,18.0,6.0,24.0,4.0,2.0,0.0,0.0,0.0,44.4,33.3,SEA,1,38.7,6.5,1.6,4.8,3.2,0.0,0.0,0.0,32.8,0.0
2016,Lindsay Whalen,100915,115.3,103.4,11.9,109.0,115.0,-6.0,18.0,402.4,395.6,198.2,194.8,798.0,8,26.6,9.0,3.0,13.1,1.9,3.9,0.4,0.1,2.0,56.9,42.9,MIN,8,24.8,3.5,0.9,2.6,7.3,0.7,0.2,3.8,24.5,0.8999999999999999
2016,Rebekkah Brunson,100944,116.9,106.1,10.8,103.2,110.4,-7.3,18.0,440.7,435.6,159.9,154.8,876.3,8,29.2,6.9,3.0,8.9,6.5,2.5,1.3,0.6,1.5,47.3,0.0,MIN,8,15.4,11.3,3.5,7.8,4.3,2.2,1.1,2.6,17.6,3.3000000000000003
2016,Brittney Griner,203398,110.8,113.0,-2.2,120.8,138.6,-17.9,15.6,301.5,308.0,86.1,82.2,609.4,5,31.2,8.4,3.2,13.4,6.0,1.6,0.6,2.2,2.2,64.3,0.0,PHO,5,20.9,9.3,2.5,6.9,2.5,0.9,3.4,3.4,19.9,4.3
2016,Kristi Toliver,201911,113.7,102.5,11.1,103.0,105.8,-2.9,14.0,536.5,541.2,126.2,131.3,1077.7,9,32.3,9.3,3.0,12.8,2.0,3.0,1.4,0.1,1.4,40.5,41.4,LAS,9,20.1,3.2,0.4,2.8,4.7,2.3,0.2,2.3,20.2,2.5
2016,Mistie Bass,200691,125.1,119.9,5.2,110.2,118.1,-7.9,13.1,72.7,69.2,314.9,321.0,141.9,5,7.8,1.8,0.4,1.6,1.4,0.8,0.2,0.0,0.0,33.3,0.0,PHO,5,10.3,9.0,3.8,5.1,5.1,1.3,0.0,0.0,13.6,1.3
2016,Tiffany Mitchell,1627676,94.7,105.8,-11.1,102.8,126.7,-23.9,12.9,19.0,18.0,58.4,55.2,37.0,1,10.2,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,IND,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.6,0.0
2016,Lynetta Kizer,203041,115.8,128.9,-13.0,92.9,118.2,-25.3,12.3,26.8,23.3,50.6,49.9,50.0,1,13.5,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,66.7,0.0,IND,1,14.8,7.4,0.0,7.4,0.0,0.0,0.0,0.0,11.2,0.0
2016,Essence Carson,201502,113.0,100.1,12.9,109.3,108.5,0.9,12.1,415.8,423.6,246.9,248.9,839.4,9,25.2,8.3,0.4,6.7,2.3,1.2,0.4,0.1,1.2,33.3,25.8,LAS,9,13.6,4.8,1.6,3.2,2.5,0.8999999999999999,0.2,2.5,20.9,1.0999999999999999
2016,Alana Beard,100949,110.6,99.6,11.1,115.2,115.7,-0.5,11.6,511.7,521.3,151.0,151.2,1033.0,9,31.100000000000005,7.599999999999999,1.0,8.0,3.7999999999999994,3.7000000000000006,1.1,0.4,1.2,45.6,50.0,LAS,9,13.2,6.2,2.0,4.2,6.1,1.7999999999999998,0.7,2.0,16.3,2.5
2016,Natalie Achonwa,203831,94.8,107.4,-12.6,102.5,125.8,-23.3,10.7,16.9,16.8,60.5,56.4,33.6,1,8.7,3.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,66.7,0.0,IND,1,22.2,22.2,5.6,16.7,5.6,0.0,0.0,0.0,17.8,0.0
2016,Brittany Boyd-Jones,204327,130.1,129.4,0.7,121.3,130.5,-9.2,9.9,21.5,21.6,54.4,55.9,43.2,1,12.0,4.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,25.0,0.0,NYL,1,8.7,8.7,0.0,8.7,8.7,4.3,0.0,8.7,27.9,4.3
2016,Bria Holmes,1627678,129.3,125.1,4.2,108.2,113.6,-5.4,9.6,132.2,132.7,19.4,22.0,265.0,2,35.1,12.0,4.0,15.5,5.5,2.5,0.5,0.5,2.0,50.0,28.6,ATL,2,22.1,7.9,3.6,4.3,3.6,0.7,0.7,2.9,23.8,1.4
2016,Markeisha Gatling,203832,128.9,118.3,10.6,126.1,124.8,1.3,9.3,29.5,31.3,122.2,123.4,60.8,2,7.2,0.0,2.0,1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,ATL,2,10.0,3.3,0.0,3.3,0.0,0.0,3.3,0.0,6.0,3.3
2016,Ana Dabovic,204302,108.3,93.1,15.3,112.2,104.9,7.4,7.9,94.2,94.6,568.6,578.0,188.7,6,8.0,2.3,0.3,0.8000000000000002,0.3,2.0,0.20000000000000004,0.0,0.6999999999999998,7.1,14.3,LAS,6,5.1,2.0,2.0,0.0,12.1,1.0,0.0,4.0,19.9,1.0
2016,Jamierra Faulkner,203857,110.6,118.4,-7.9,101.8,115.9,-14.1,6.2,161.0,166.3,228.0,221.0,327.3,5,17.1,7.6,2.6,8.0,1.6,3.0,0.8,0.0,1.4,39.5,14.3,CHI,5,22.5,4.5,1.7,2.8,8.4,2.2,0.0,3.9,31.5,2.2
2016,Epiphanny Prince,202259,116.4,119.9,-3.4,129.4,138.8,-9.4,5.9,32.6,35.0,43.3,42.5,67.7,1,16.7,8.0,2.0,12.0,3.0,3.0,0.0,0.0,0.0,50.0,66.7,NYL,1,33.3,8.3,5.6,2.8,8.3,0.0,0.0,0.0,27.2,0.0
2016,Crystal Langhorne,201518,113.0,124.2,-11.3,115.2,131.6,-16.4,5.1,39.8,37.8,34.7,35.7,77.7,1,20.8,6.0,3.0,7.0,7.0,2.0,0.0,1.0,2.0,33.3,0.0,SEA,1,17.1,17.1,4.9,12.2,4.9,0.0,2.4,4.9,23.4,2.4
2016,Natasha Howard,203827,113.4,105.0,8.4,113.1,108.4,4.7,3.7,206.3,202.9,394.4,387.5,409.2,8,13.0,3.8,0.9,5.6,2.6,0.6,0.9,0.1,0.8,70.0,0.0,MIN,8,20.5,9.6,2.7,6.8,2.3,3.2,0.5,2.7,19.4,3.7
2016,Clarissa Dos Santos,204309,101.8,111.8,-10.0,108.4,121.4,-13.1,3.1,175.8,179.8,213.2,207.5,355.6,5,18.5,7.0,2.2,9.4,3.4,1.4,1.8,0.0,1.6,54.3,0.0,CHI,5,25.0,9.0,4.3,4.8,3.7,4.8,0.0,4.3,27.2,4.8
2016,Janel McCarville,101019,124.4,117.0,7.3,112.6,106.7,5.9,1.4,32.2,30.8,568.5,559.6,62.9,4,4.7,1.3,0.0,1.0,1.0,0.3,0.0,0.0,0.3,40.0,0.0,MIN,4,10.5,10.5,5.3,5.3,2.6,0.0,0.0,2.6,19.9,0.0
2016,Carolyn Swords,202670,124.8,130.9,-6.1,121.8,128.9,-7.2,1.1,51.3,52.0,24.6,25.6,103.2,1,26.6,8.0,1.0,14.0,3.0,0.0,1.0,0.0,1.0,87.5,0.0,NYL,1,26.9,5.8,1.9,3.8,0.0,1.9,0.0,1.9,18.4,1.9
2016,Candice Dupree,200676,113.0,118.3,-5.4,113.2,118.6,-5.4,0.0,305.4,311.0,82.2,79.2,616.4,5,31.3,8.6,1.2,9.6,3.8,1.8,0.6,0.2,1.4,48.8,0.0,PHO,5,14.9,5.9,1.2,4.6,2.8,0.9,0.3,2.2,17.2,1.2
2016,Jessica Breland,202638,101.6,113.9,-12.2,112.2,122.5,-10.4,-1.9,249.9,248.6,139.0,138.7,498.5,5,25.5,9.0,0.0,9.2,8.4,0.6,1.2,1.4,0.8,51.1,0.0,CHI,5,17.5,16.0,5.7,10.3,1.1,2.3,2.7,1.5,19.6,5.0
2016,Marissa Coleman,201889,108.4,129.9,-21.5,81.8,100.8,-18.9,-2.5,55.4,52.4,22.0,20.8,107.7,1,28.7,9.0,3.0,13.0,2.0,1.0,1.0,0.0,1.0,44.4,40.0,IND,1,22.8,3.5,0.0,3.5,1.8,1.8,0.0,1.8,20.4,1.8
2016,Swin Cash,100721,126.6,135.1,-8.5,122.7,128.3,-5.5,-3.0,21.3,22.2,54.6,55.4,43.5,1,11.6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NYL,1,0.0,4.3,0.0,4.3,0.0,0.0,0.0,0.0,9.4,0.0
2016,Renee Montgomery,201904,115.5,112.4,3.1,112.1,104.7,7.4,-4.3,193.1,190.4,407.5,400.0,383.5,8,12.6,3.4,1.3,4.1,0.4,1.9,0.5,0.0,1.0,37.0,44.4,MIN,8,16.3,1.5,0.5,1.0,7.4,2.0,0.0,3.9,20.6,2.0
2016,Courtney Vandersloot,202664,103.5,116.1,-12.6,111.4,119.6,-8.1,-4.5,293.8,286.1,95.1,101.2,579.9,5,29.7,10.2,3.2,13.2,2.4,6.2,2.0,0.2,2.6,43.1,33.3,CHI,5,21.8,4.0,0.3,3.6,10.2,3.3,0.3,4.3,24.2,3.5999999999999996
2016,Candace Parker,201496,113.1,105.8,7.3,104.7,90.8,13.9,-6.6,548.2,556.9,114.6,115.6,1105.1,9,33.0,14.399999999999999,6.0,19.3,8.7,3.2,1.7,1.8999999999999997,2.7,46.9,31.3,LAS,9,30.0,13.4,3.1,10.3,5.0,2.6,2.9,4.1,32.4,5.5
2016,Erlana Larkins,201503,100.5,123.7,-23.2,101.5,117.0,-15.5,-7.6,52.7,50.1,24.6,23.1,102.8,1,27.9,11.0,0.0,12.0,6.0,1.0,0.0,0.0,2.0,54.5,0.0,IND,1,21.4,10.7,7.1,3.6,1.8,0.0,0.0,3.6,24.7,0.0
2016,Cheyenne Parker-Tyus,204323,110.8,128.3,-17.4,103.8,113.5,-9.7,-7.8,89.3,92.0,299.6,295.3,181.3,5,9.5,2.4,2.4,2.8,1.8,0.4,0.2,0.0,0.6,33.3,0.0,CHI,5,13.7,8.8,4.9,3.9,2.0,1.0,0.0,2.9,22.7,1.0
2016,Jantel Lavender,202650,111.3,107.8,3.5,111.9,100.4,11.5,-8.0,257.0,255.0,405.8,417.5,512.0,9,15.600000000000001,6.2,0.0,7.599999999999999,2.3,1.0,0.0,0.1,0.2,60.7,0.0,LAS,9,24.5,7.599999999999999,2.5,5.1,3.2,0.0,0.4,0.7,22.4,0.4
2016,Chelsea Gray,203833,114.8,110.6,4.2,107.9,94.0,13.8,-9.6,360.6,371.6,302.2,301.0,732.1,9,22.1,7.1,2.7,9.0,1.7,2.8,1.1,0.0,2.4,40.6,39.1,LAS,9,20.6,3.7999999999999994,0.5,3.3,6.3,2.5,0.0,5.6,26.7,2.5
