SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2021,Linnae Harper,1628897,147.1,67.6,79.5,106.3,101.3,5.0,74.5,10.2,8.9,2544.3,2561.4,19.1,1,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,1,0.0,9.1,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
2021,Elena Delle Donne,203399,114.6,92.4,22.2,102.8,108.8,-6.0,28.2,101.2,98.5,2362.7,2368.6,199.7,3,17.4,9.0,4.0,13.699999999999998,4.3,0.6999999999999998,0.0,0.3,0.6999999999999998,48.1,60.0,WAS,3,38.7,12.300000000000002,2.7999999999999994,9.4,1.8999999999999997,0.0,0.9,1.8999999999999997,34.0,0.9
2021,Chelsey Perry,1630437,94.3,83.8,10.5,99.8,113.2,-13.4,23.9,75.3,74.0,2333.5,2346.8,149.3,6,6.7,3.0,0.3,2.2,1.0,0.3,0.5,0.0,0.3,27.8,22.2,IND,6,16.3,7.5,0.0,7.5,2.5,3.7999999999999994,0.0,2.5,27.3,3.7999999999999994
2021,Skylar Diggins,203400,109.7,104.1,5.6,98.6,114.9,-16.3,21.9,2693.4,2687.4,586.1,580.6,5380.8,32,32.5,12.3,6.2,17.7,3.2,5.3,1.1,0.8,2.6,45.2,37.0,PHO,32,27.7,4.9,0.8,4.1,8.2,1.7,1.2,4.0,20.9,2.9
2021,Teaira McCowan,1629479,105.7,111.4,-5.7,88.3,113.9,-25.6,19.9,1571.6,1583.1,837.2,837.7,3154.7,32,26.5,8.0,4.1,11.3,9.6,1.1,0.6,1.6,1.7,53.7,0.0,IND,32,21.6,18.4,6.5,11.9,2.0,1.1,3.0,3.2,23.4,4.1
2021,Kelsey Mitchell,1628909,101.8,111.0,-9.2,89.4,118.4,-28.9,19.7,1991.7,2006.0,417.0,414.8,3997.7,32,33.1,15.4,2.7,17.8,2.6,2.5,1.1,0.2,2.0,43.1,33.5,IND,32,27.1,4.0,1.0,3.0,3.8,1.6,0.3,3.1,29.9,1.9000000000000001
2021,Breanna Stewart,1627668,111.9,101.0,10.9,98.2,106.0,-7.8,18.7,1796.7,1805.7,789.9,784.7,3602.4,28,33.3,15.8,5.6,20.3,9.5,2.7,1.2,1.8,1.7,43.9,33.3,SEA,28,30.2,14.2,1.8,12.4,4.0,1.8,2.6,2.5,31.1,4.4
2021,Jonquel Jones,1627673,111.1,94.0,17.2,103.5,102.0,1.5,15.7,1799.8,1802.0,840.7,854.0,3601.8,27,31.7,13.8,4.5,19.4,11.2,2.8,1.3,1.3,2.9,51.5,36.2,CON,27,32.1,18.6,4.1,14.5,4.6,2.1,2.1,4.8,28.0,4.2
2021,Brianna Turner,1629488,109.0,104.3,4.8,103.3,112.0,-8.6,13.4,2536.3,2534.0,743.1,734.0,5070.4,32,31.1,6.1,1.4,7.8,9.4,1.8,0.8,1.3,1.5,55.4,0.0,PHO,32,12.7,15.4,4.0,11.4,2.8,1.2,2.1,2.4,10.4,3.3
2021,Bella Alarie,1630093,103.8,97.7,6.1,105.7,112.5,-6.8,12.9,766.5,762.2,1757.2,1727.2,1528.7,31,13.1,2.1,0.6,2.6,3.3,0.5,0.6,0.6,0.6,50.0,0.0,DAL,31,10.0,12.5,5.2,7.4,2.0,2.2,2.5,2.2,12.0,4.7
