SEASON,PLAYER_NAME,TEAM_ABBREVIATION,ORAPM,DRAPM,RAPM,POSS,USG_PCT,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,GP_PG,MIN_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FGA_PG,FTA_PG,FG_PCT_PG,FG3_PCT_PG,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,STOCKS_100,PLAYER_ID
1997,Tamecka Dixon,LAS,1.74,2.1,3.84,2609.9,27.0,102.8,91.4,11.5,93.5,103.8,-10.3,21.8,1293.2,1316.7,799.0,788.2,27.0,26.4,12.3,3.1,2.0,1.9,0.2,2.1,9.4,3.3,47.1,44.4,24.0,6.2,1.7,4.5,3.9,3.6,0.4,4.1,4.0,100008
1997,Kim Perrot,HOU,2.45,1.06,3.51,2426.6,20.0,107.3,92.5,14.7,95.5,96.3,-0.8,15.6,1212.0,1214.7,742.8,723.8,28.0,24.8,5.7,2.7,3.0,2.5,0.1,2.3,5.8,1.3,35.8,28.3,12.3,5.8,1.3,4.5,6.6,5.3,0.2,5.0,5.5,100083
1997,Katrina Colleton,LAS,1.66,1.25,2.91,2242.2,15.2,102.8,92.6,10.2,95.3,99.9,-4.6,14.8,1119.2,1123.1,973.0,981.8,27.0,22.4,5.0,2.2,1.6,1.2,0.3,1.2,4.6,1.1,44.4,37.5,11.3,4.9,2.1,2.8,3.7,2.7,0.7,2.7,3.4000000000000004,100009
1997,Umeki Webb,PHO,1.03,1.77,2.8,2763.0,17.2,98.2,88.6,9.6,88.6,93.3,-4.7,14.3,1391.8,1371.2,636.7,658.4,28.0,27.3,5.0,4.0,2.4,2.4,0.3,1.9,5.6,2.4,29.3,6.7,9.6,7.8,2.8,5.0,4.7,4.6,0.6,3.7,5.199999999999999,100035
1997,Michele Timms,PHO,0.52,2.09,2.61,3444.8,23.9,97.2,89.0,8.1,84.1,96.2,-12.1,20.3,1724.0,1720.8,304.6,308.8,27.0,35.4,11.6,3.7,5.0,2.6,0.1,2.9,10.7,3.8,33.0,34.1,17.5,5.5,1.3,4.2,7.5,4.0,0.2,4.4,4.2,100029
1997,Michelle Edwards,CLE,2.11,0.46,2.57,2157.7,26.5,102.7,94.9,7.9,92.1,96.2,-4.1,11.9,1078.4,1079.3,919.5,923.4,20.0,31.2,10.2,3.5,4.5,1.8,0.2,3.9,8.5,4.3,44.7,24.0,17.5,6.1,1.1,4.9,7.7,3.0,0.3,6.7,3.3,100088
1997,Wanda Guyton,HOU,1.44,1.01,2.45,2353.3,18.1,104.3,92.5,11.8,100.4,96.1,4.3,7.5,1179.7,1173.6,775.0,764.9,25.0,27.4,6.8,5.6,0.5,1.1,0.3,1.9,5.3,3.1,47.0,0.0,13.5,11.1,6.4,4.7,0.9,2.2,0.6,3.8,2.8000000000000003,100074
1997,Teresa Weatherspoon,NYL,1.09,1.35,2.44,3281.2,16.9,97.5,90.8,6.7,80.7,91.7,-11.0,17.7,1640.5,1640.7,373.0,382.8,28.0,32.9,7.0,4.1,6.2,3.0,0.1,3.4,4.9,3.6,46.7,8.6,11.1,6.6,1.4,5.2,9.8,4.8,0.1,5.3,4.8999999999999995,100101
1997,Tina Thompson,HOU,1.85,0.48,2.33,3073.2,26.7,104.4,94.2,10.2,96.6,93.1,3.5,6.7,1550.2,1523.0,404.6,415.5,28.0,31.7,13.2,6.5,1.1,0.7,1.0,2.2,11.3,2.9,42.1,37.4,22.5,11.1,4.1,7.1,1.9,1.2,1.7,3.7,2.9,100076
1997,Cynthia Cooper,HOU,2.33,-0.1,2.23,3380.8,35.5,104.7,95.0,9.7,89.7,86.7,3.0,6.7,1699.4,1681.4,255.3,257.1,28.0,35.0,22.2,3.9,4.7,2.1,0.2,3.9,14.5,7.1,46.9,41.9,34.6,6.1,1.8,4.3,7.3,3.2,0.3,6.1,3.5,100073
1997,Haixia Zheng,LAS,2.26,-0.12,2.14,2060.8,24.2,106.0,95.8,10.2,92.7,96.2,-3.5,13.7,1032.9,1028.0,1059.3,1077.0,28.0,20.2,9.4,4.2,0.7,0.4,0.6,1.7,6.4,1.9,63.1,100.0,24.0,10.7,2.9,7.8,1.7,1.0,1.6,4.3,2.6,100006
1997,Isabelle Fijalkowski,CLE,1.15,0.96,2.11,2840.1,25.7,99.9,94.1,5.8,92.7,98.7,-6.0,11.8,1419.8,1420.3,578.1,582.4,28.0,28.7,11.9,5.6,2.4,0.6,0.6,2.6,8.8,3.7,50.8,25.0,22.0,10.4,4.1,6.3,4.5,1.1,1.1,4.8,2.2,100089
1997,Bridget Pettis,PHO,1.19,0.91,2.1,3026.8,29.5,98.4,90.8,7.6,85.9,88.1,-2.3,9.9,1510.2,1516.6,518.3,513.0,28.0,29.7,12.5,3.8,2.8,1.7,0.4,2.9,11.3,3.9,33.5,30.5,21.9,6.7,2.3,4.4,4.8,3.0,0.7,5.2,3.7,100031
1997,Vicky Bullett,CHA,0.4,1.63,2.03,3061.8,27.9,96.8,92.5,4.3,91.8,100.4,-8.6,12.9,1533.4,1528.3,430.1,426.3,28.0,31.1,12.8,6.4,2.3,1.9,2.0,2.4,11.6,2.9,44.8,30.4,22.3,11.1,4.1,7.0,4.0,3.4,3.4,4.2,6.8,100058
1997,Lisa Leslie,LAS,2.1,-0.16,1.94,3327.6,32.8,102.0,96.1,5.9,88.8,95.6,-6.8,12.7,1662.0,1665.6,430.2,439.4,28.0,31.5,15.5,9.5,2.6,1.3,2.0,3.7,12.9,6.5,43.5,28.3,24.7,15.0,3.5,11.5,4.1,2.1,3.1,5.8,5.2,100003
1997,Lynette Woodard,CLE,1.04,0.53,1.57,2525.2,25.3,100.1,94.7,5.4,94.1,96.8,-2.8,8.2,1253.8,1271.5,744.1,731.2,28.0,25.5,7.8,4.1,2.4,1.6,0.4,2.5,7.8,2.3,40.1,0.0,16.0,8.5,2.7,5.7,4.9,3.3,0.7,5.1,4.0,100090
1997,Marlies Askamp,PHO,0.37,1.1,1.47,1851.2,28.4,96.9,89.3,7.6,93.8,90.8,2.9,4.7,921.6,929.7,1107.0,1099.9,28.0,18.6,7.4,5.1,0.8,0.8,0.3,1.6,6.3,3.3,39.0,0.0,21.0,14.5,6.7,7.9,2.3,2.2,0.9,4.6,3.1,100037
1997,Sue Wicks,NYL,-0.01,1.47,1.46,1169.4,28.4,94.4,86.4,8.0,94.3,92.8,1.6,6.4,579.4,590.0,1434.2,1433.5,28.0,11.8,3.5,3.4,1.0,0.6,0.6,1.6,3.8,1.1,35.5,28.6,15.2,14.6,5.6,9.0,4.5,2.6,2.8,7.2,5.4,100104
1997,Sophia Witherspoon,NYL,0.04,1.24,1.28,3110.3,30.4,95.7,90.7,5.0,89.8,91.7,-1.9,6.9,1552.4,1557.9,461.1,465.7,28.0,30.9,14.5,3.0,2.3,1.8,0.3,2.8,12.3,4.0,40.6,34.9,24.3,5.0,1.8,3.2,3.8,2.9,0.4,4.6,3.3,100105
1997,Andrea Congreaves,CHA,1.24,-0.02,1.22,2261.2,16.0,98.9,95.6,3.3,91.3,92.3,-1.0,4.3,1133.3,1128.0,830.3,826.7,28.0,23.6,6.7,4.8,1.5,0.6,0.2,1.1,4.5,2.0,50.0,40.9,15.5,11.0,3.3,7.7,3.4,1.3,0.4,2.6,1.7000000000000002,100065
1997,Sheryl Swoopes,HOU,0.6,0.53,1.13,424.9,29.4,108.6,88.5,20.1,102.1,94.6,7.5,12.6,214.6,210.2,1740.1,1728.2,9.0,14.4,7.1,1.7,0.8,0.8,0.4,0.4,5.9,1.6,47.2,25.0,27.9,6.6,2.6,3.9,3.1,3.1,1.7,1.7,4.8,100072
1997,Rebecca Lobo,NYL,0.07,1.04,1.11,3368.0,28.8,95.8,91.4,4.4,87.0,88.7,-1.7,6.1,1691.6,1676.4,321.9,347.2,28.0,33.5,12.4,7.3,1.9,0.9,1.8,3.1,12.6,3.8,37.6,28.6,19.4,11.3,3.5,7.9,3.0,1.4,2.8,4.9,4.199999999999999,100002
1997,Andrea Stinson,CHA,0.66,0.39,1.05,3519.0,30.2,96.8,94.3,2.6,85.6,93.3,-7.8,10.3,1763.7,1755.3,199.9,199.3,28.0,36.1,15.7,5.5,4.4,1.5,0.8,3.5,14.1,3.2,44.7,32.5,23.6,8.3,2.6,5.8,6.7,2.3,1.1,5.3,3.4,100059
1997,Catarina Pollini,HOU,-0.35,1.28,0.93,336.6,21.2,92.5,76.5,15.9,103.7,95.6,8.1,7.8,165.5,171.2,1789.2,1767.3,13.0,7.2,1.7,0.9,0.4,0.2,0.1,0.6,1.7,0.9,36.4,0.0,11.6,6.3,1.6,4.8,2.6,1.6,0.5,4.2,2.1,100079
1997,Kym Hampton,NYL,-0.23,1.13,0.9,2353.1,26.6,95.7,90.3,5.4,92.4,91.8,0.7,4.8,1170.8,1182.3,842.8,841.2,28.0,23.7,9.8,5.8,1.4,1.4,0.7,1.8,7.5,4.1,47.4,0.0,21.6,12.9,4.1,8.8,3.0,3.1,1.5,3.9,4.6,100102
1997,"Penny McCray, Nikki (",,-0.51,1.41,0.9,1923.2,,93.8,90.5,3.3,97.5,97.7,-0.2,3.6,963.2,959.9,1000.3,994.7,,,,,,,,,,,,,,,,,,,,,,100069
1997,Denique Graves,SAC,-0.68,1.38,0.7,279.5,29.8,81.9,76.9,5.0,96.2,106.9,-10.7,15.7,139.1,140.4,1878.5,1874.0,21.0,3.7,0.8,0.7,0.0,0.0,0.2,0.6,1.2,0.4,23.1,0.0,10.7,10.1,2.0,8.1,0.0,0.0,2.7,8.1,2.7,100021
1997,Monique Ambers,PHO,-0.68,1.17,0.49,316.9,15.6,85.0,74.4,10.6,96.0,91.5,4.5,6.1,152.9,164.0,1875.6,1865.6,19.0,4.6,0.7,1.1,0.2,0.0,0.1,0.4,0.5,0.8,44.4,0.0,8.0,11.5,5.7,5.7,2.3,0.0,1.1,4.0,1.1,100036
1997,Dena Head,UTA,-0.39,0.85,0.46,1698.5,25.7,89.8,97.8,-8.0,87.8,107.2,-19.4,11.3,846.6,851.8,1187.6,1182.2,27.0,17.5,5.7,2.3,1.7,0.5,0.3,2.3,5.0,1.7,39.0,31.3,16.9,6.9,2.4,4.5,5.0,1.5,0.9,6.7,2.4,100045
1997,Janice Braxton,CLE,0.62,-0.16,0.46,2913.5,22.3,98.4,96.4,2.0,96.4,92.8,3.6,-1.6,1447.2,1466.3,550.7,536.4,25.0,32.9,11.5,7.6,2.0,1.4,1.1,2.1,8.4,5.5,41.7,50.0,18.5,12.2,2.5,9.7,3.2,2.3,1.8,3.4,4.1,100087
1997,Adrienne Johnson,CLE,0.32,0.11,0.43,666.1,26.5,99.1,93.9,5.2,97.6,95.8,1.8,3.4,337.0,329.2,1660.9,1673.5,25.0,7.8,2.1,0.9,0.4,0.2,0.0,1.1,2.3,0.4,37.9,50.0,14.7,6.1,2.2,3.9,2.5,1.4,0.3,7.5,1.7,100100
1997,Tammy Jackson,HOU,0.79,-0.39,0.4,1800.7,19.7,102.8,96.0,6.7,102.8,92.2,10.6,-3.9,906.1,894.6,1048.6,1043.9,28.0,19.0,4.1,4.1,0.4,1.6,0.4,1.8,3.9,1.5,41.3,0.0,11.9,12.0,4.3,7.7,1.1,4.6,1.0,5.1,5.6,100077
1997,Katasha Artis,CHA,-0.03,0.43,0.4,402.2,17.3,94.5,91.0,3.5,95.8,94.6,1.3,2.2,202.2,200.1,1761.4,1754.6,20.0,5.6,0.8,0.8,0.4,0.3,0.1,0.6,0.8,0.8,25.0,0.0,7.2,7.2,0.5,6.8,3.6,2.7,0.5,5.4,3.2,100067
1997,Marcie Alberts,CLE,0.22,0.11,0.33,115.6,8.5,105.5,89.8,15.7,97.6,95.6,2.0,13.7,58.8,56.8,1939.1,1945.9,5.0,6.1,0.0,0.2,0.6,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.6,0.0,1.6,4.8,3.2,0.0,4.8,3.2,100158
1997,Cassandra Crumpton-Moorer,NYL,-0.01,0.32,0.31,38.0,26.2,99.6,53.0,46.6,94.3,91.3,3.0,43.6,19.1,18.9,1994.4,2004.7,2.0,5.5,1.0,1.0,0.5,0.0,0.0,0.5,2.0,0.0,25.0,0.0,10.0,10.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,100110
