season,season_type,games,games_with_stints,stints
1997,Playoffs,3,3,68
1997,Regular Season,112,112,3108
1998,Playoffs,8,8,196
1998,Regular Season,150,149,4107
1999,Playoffs,11,11,257
1999,Regular Season,192,191,5007
2000,Playoffs,16,16,377
2000,Regular Season,256,255,6987
2001,Playoffs,18,18,408
2001,Regular Season,256,256,6972
2002,Playoffs,17,17,392
2002,Regular Season,256,256,6913
2003,Playoffs,19,19,462
2003,Regular Season,238,238,6366
2004,Playoffs,19,19,515
2004,Regular Season,221,221,5996
2005,Playoffs,17,17,452
2005,Regular Season,221,221,6131
2006,Playoffs,19,19,559
2006,Regular Season,238,237,6764
2007,Playoffs,21,21,641
2007,Regular Season,221,221,6789
2008,Playoffs,21,21,672
2008,Regular Season,238,238,7549
2009,Playoffs,21,21,636
2009,Regular Season,221,221,6778
2010,Playoffs,16,16,452
2010,Regular Season,204,204,5870
2011,Playoffs,19,19,546
2011,Regular Season,204,204,5702
2012,Playoffs,19,19,502
2012,Regular Season,204,204,5925
2013,Playoffs,17,17,442
2013,Regular Season,204,204,5772
2014,Playoffs,18,18,487
2014,Regular Season,204,204,5804
2015,Playoffs,21,21,607
2015,Regular Season,204,204,5961
2016,Playoffs,16,16,460
2016,Regular Season,204,204,5909
2017,Playoffs,15,15,394
2017,Regular Season,204,204,5891
2018,Playoffs,17,17,395
2018,Regular Season,203,203,5517
2019,Playoffs,16,16,406
2019,Regular Season,204,204,5455
2020,Playoffs,15,15,389
2020,Regular Season,132,132,3608
2021,Playoffs,17,17,453
2021,Regular Season,192,192,5120
2022,Playoffs,23,23,570
2022,Regular Season,216,216,5954
2023,Playoffs,20,20,463
2023,Regular Season,240,240,6646
2024,Playoffs,22,22,532
2024,Regular Season,240,240,6272
2025,Playoffs,24,24,675
2025,Regular Season,286,286,8100
2026,Regular Season,330,330,10186
